ip,query,malware_name,tag,port,country,org,isp,hostnames,first_seen,last_seen,projectlabel
1.92.139.71,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",4444,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,ecs-1-92-139-71.compute.hwclouds-dns.com,2025-02-14,2025-02-14,CTI-IOA
39.98.40.53,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",8888,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
154.223.21.105,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",443,Hong Kong,Lightnode  Limited,Kaopu Cloud HK Limited,,2025-02-14,2025-02-14,CTI-IOA
120.53.222.93,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",55322,China,Shandong Servsd Technology Co. Ltd.,Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
47.113.179.177,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",80,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
120.53.102.197,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",443,China,Beijing Voda Telecom Technology Co. Ltd.,Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
152.32.201.202,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",443,Japan,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,,2025-02-14,2025-02-14,CTI-IOA
103.142.102.171,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",443,China,ZhongShanShi QiYi HuDong WangLuoKeJi Ltd,Cloudie Limited,,2025-02-14,2025-02-14,CTI-IOA
193.57.57.121,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",9443,Malaysia,Evoxt Enterprise,Evoxt Enterprise,,2025-02-14,2025-02-14,CTI-IOA
3.232.168.159,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",443,United States,Amazon Data Services NoVa,"Amazon.com, Inc.",ec2-3-232-168-159.compute-1.amazonaws.com,2025-02-14,2025-02-14,CTI-IOA
154.221.21.196,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",2053,Hong Kong,Yisu Cloud Ltd,YISU CLOUD LTD,,2025-02-14,2025-02-14,CTI-IOA
103.24.179.18,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",7004,China,"Shenzhen ESIN Technology Co., Ltd",China Telecom (Group),,2025-02-14,2025-02-14,CTI-IOA
18.183.60.128,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",80,Japan,Amazon Data Services Japan,"Amazon.com, Inc.",ec2-18-183-60-128.ap-northeast-1.compute.amazonaws.com,2025-02-14,2025-02-14,CTI-IOA
8.218.174.208,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",443,Hong Kong,Alibaba Cloud (Singapore) Private Limited,"Alibaba (US) Technology Co., Ltd.",,2025-02-14,2025-02-14,CTI-IOA
113.45.252.9,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",6666,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,ecs-113-45-252-9.compute.hwclouds-dns.com,2025-02-14,2025-02-14,CTI-IOA
36.156.124.29,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",8099,China,China Mobile Communications Corporation,China Mobile communications corporation,,2025-02-14,2025-02-14,CTI-IOA
47.92.135.251,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",8443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",tencentsec.xyz,2025-02-14,2025-02-14,CTI-IOA
182.160.14.158,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",7777,Hong Kong,Huawei Cloud Hongkong Region,HUAWEI CLOUDS,ecs-182-160-14-158.compute.hwclouds-dns.com,2025-02-14,2025-02-14,CTI-IOA
160.22.121.92,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",80,Viet Nam,VPSMO Company Limited,,,2025-02-14,2025-02-14,CTI-IOA
107.172.140.211,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",80,United States,RackNerd LLC,HostPapa,107-172-140-211-host.colocrossing.com,2025-02-14,2025-02-14,CTI-IOA
8.219.86.28,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",80,Singapore,Alibaba Cloud (Singapore) Private Limited,"Alibaba (US) Technology Co., Ltd.",,2025-02-14,2025-02-14,CTI-IOA
103.136.150.182,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",443,Hong Kong,Xdeer Limited,Baxet Group Inc.,,2025-02-14,2025-02-14,CTI-IOA
124.71.192.162,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",50000,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,ecs-124-71-192-162.compute.hwclouds-dns.com,2025-02-14,2025-02-14,CTI-IOA
111.119.198.247,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",9998,Singapore,Huawei-Cloud-SG,HUAWEI CLOUDS,,2025-02-14,2025-02-14,CTI-IOA
59.110.47.61,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",80,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
8.130.123.92,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",80,China,Aliyun Computing Co.LTD,"Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
154.18.239.19,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",443,Singapore,UltaHost,Cogent Communications,,2025-02-14,2025-02-14,CTI-IOA
211.149.159.163,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",8888,China,"Chengdu west dimension digital technology Co., LTD",CHINANET SiChuan Telecom Internet Data Center,,2025-02-14,2025-02-14,CTI-IOA
87.120.115.8,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",7777,Netherlands,Ekabi LLC,EKABI,,2025-02-14,2025-02-14,CTI-IOA
110.41.178.223,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",80,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,ecs-110-41-178-223.compute.hwclouds-dns.com,2025-02-14,2025-02-14,CTI-IOA
139.198.30.159,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",9999,China,Yunify Technologies Inc.,Yunify Technologies Inc.,,2025-02-14,2025-02-14,CTI-IOA
47.96.143.115,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",8086,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
5.178.1.17,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",443,Switzerland,Tribeka Web Advisors S.A.,Tribeka Web Advisors S.A.,5-178-1-17.telecomgroupdesign.com,2025-02-14,2025-02-14,CTI-IOA
139.162.4.251,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",80,Singapore,"Linode, LLC",Akamai Connected Cloud,139-162-4-251.ip.linodeusercontent.com,2025-02-14,2025-02-14,CTI-IOA
124.222.59.8,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",8009,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
123.249.4.78,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",6666,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,ecs-123-249-4-78.compute.hwclouds-dns.com,2025-02-14,2025-02-14,CTI-IOA
154.64.231.1,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",8443,United States,Cogent Communications,NetLab Global,tetss.top,2025-02-14,2025-02-14,CTI-IOA
1.117.72.208,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",8080,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
2a01:7e00::f03c:91ff:fe08:826,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",80,United Kingdom,"Linode, LLC",Akamai Connected Cloud,,2025-02-14,2025-02-14,CTI-IOA
47.109.205.208,product:'Cobalt Strike Beacon',Cobalt Strike C2_3,"IOA,Lab,Monty",80,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
83.229.127.87,ssl:foren.zik,Cobalt Strike C2_4,"IOA,Lab,Monty",443,Hong Kong,S-G-IX,LUCIDACLOUD LIMITED,,2025-02-14,2025-02-14,CTI-IOA
192.227.234.140,ssl:foren.zik,Cobalt Strike C2_4,"IOA,Lab,Monty",2083,United States,RackNerd LLC,HostPapa,192-227-234-140-host.colocrossing.com,2025-02-14,2025-02-14,CTI-IOA
156.244.14.192,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,Lightnode Limited,Kaopu Cloud HK Limited,,2025-02-14,2025-02-14,CTI-IOA
88.119.170.212,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Netherlands,"Informacines sistemos ir technologijos, UAB","Informacines sistemos ir technologijos, UAB",17224-30013.bacloud.info,2025-02-14,2025-02-14,CTI-IOA
162.214.66.186,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,Unified Layer,Unified Layer,dedi-4514606.carvvo.com.br,2025-02-14,2025-02-14,CTI-IOA
35.194.97.139,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Japan,Google LLC,Google LLC,139.97.194.35.bc.googleusercontent.com,2025-02-14,2025-02-14,CTI-IOA
173.212.214.79,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Germany,Contabo GmbH,Contabo GmbH,vmi280550.contaboserver.net,2025-02-14,2025-02-14,CTI-IOA
107.172.32.126,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,HostPapa,HostPapa,107-172-32-126-host.colocrossing.com,2025-02-14,2025-02-14,CTI-IOA
147.45.221.183,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Germany,GLOBAL CONNECTIVITY SOLUTIONS LLP,GLOBAL CONNECTIVITY SOLUTIONS LLP,50890-6.ip-ptr.tech,2025-02-14,2025-02-14,CTI-IOA
201.19.3.245,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Brazil,V tal,V tal,201-19-3-245.user3p.vtal.net.br,2025-02-14,2025-02-14,CTI-IOA
49.247.42.245,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,"Korea, Republic of",SMILESERV,SMILESERV,,2025-02-14,2025-02-14,CTI-IOA
172.96.166.106,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,Dedicated.com,Dedicated.com,,2025-02-14,2025-02-14,CTI-IOA
103.86.177.103,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",443,India,MilesWeb Internet Services Pvt Ltd,MilesWeb Internet Services Pvt Ltd,server.northeastwebsolution.com,2025-02-14,2025-02-14,CTI-IOA
162.55.91.224,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Germany,Hetzner Online GmbH,Hetzner Online GmbH,mail.tenue.one,2025-02-14,2025-02-14,CTI-IOA
92.204.173.24,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,France,Jahirul Islam,velia.net Internetdienste GmbH,,2025-02-14,2025-02-14,CTI-IOA
178.63.172.20,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",443,Germany,Hetzner Online GmbH,Hetzner Online GmbH,static.20.172.63.178.clients.your-server.de,2025-02-14,2025-02-14,CTI-IOA
88.214.25.246,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Germany,VDS&VPN services,Layer7 Networks GmbH,,2025-02-14,2025-02-14,CTI-IOA
109.228.59.27,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United Kingdom,UK Next Generation Cloud Server (NGCS),IONOS SE,,2025-02-14,2025-02-14,CTI-IOA
63.210.148.42,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,"The Constant Company, LLC","The Constant Company, LLC",63.210.148.42.vultrusercontent.com,2025-02-14,2025-02-14,CTI-IOA
128.46.157.249,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,Purdue University,Purdue University,potr-157-39.dhcp.ecn.purdue.edu,2025-02-14,2025-02-14,CTI-IOA
143.198.208.174,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Singapore,"DigitalOcean, LLC","DigitalOcean, LLC",,2025-02-14,2025-02-14,CTI-IOA
162.243.22.15,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,"DigitalOcean, LLC","DigitalOcean, LLC",,2025-02-14,2025-02-14,CTI-IOA
60.191.208.227,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,China,Hua Chen Network,CHINANET-BACKBONE,,2025-02-14,2025-02-14,CTI-IOA
37.143.15.49,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Russian Federation,IHC.RU network in Eserver,EuroByte LLC,hosted-by.IHC.ru,2025-02-14,2025-02-14,CTI-IOA
47.96.23.106,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
165.154.51.207,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Thailand,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,,2025-02-14,2025-02-14,CTI-IOA
144.126.132.108,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,Contabo Inc.,"Nubes, LLC",vmi2200946.contaboserver.net,2025-02-14,2025-02-14,CTI-IOA
146.190.51.91,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,"DigitalOcean, LLC","DigitalOcean, LLC",,2025-02-14,2025-02-14,CTI-IOA
209.195.169.238,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,"Consolidated Communications, Inc.","Consolidated Communications, Inc.",c13.pyramid-group.com,2025-02-14,2025-02-14,CTI-IOA
184.185.107.7,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,Cox Communications Inc.,Cox Communications Inc.,wsip-184-185-107-7.ri.ri.cox.net,2025-02-14,2025-02-14,CTI-IOA
148.135.72.115,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,Brander Group Inc.,MULTACOM CORPORATION,243-103-52-198-dedicated.multacom.com,2025-02-14,2025-02-14,CTI-IOA
167.99.210.92,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Netherlands,"DigitalOcean, LLC","DigitalOcean, LLC",,2025-02-14,2025-02-14,CTI-IOA
15.235.162.115,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Singapore,OVH Singapore PTE. LTD,OVH SAS,vps-329470da.vps.ovh.ca,2025-02-14,2025-02-14,CTI-IOA
78.38.80.242,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,"Iran, Islamic Republic of",Amozesh aali Roozbehan,Iran Telecommunication Company PJS,,2025-02-14,2025-02-14,CTI-IOA
45.79.198.18,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,Linode,Akamai Connected Cloud,mail.conmection.com,2025-02-14,2025-02-14,CTI-IOA
104.131.46.55,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,"DigitalOcean, LLC","DigitalOcean, LLC",,2025-02-14,2025-02-14,CTI-IOA
37.221.196.152,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Germany,netcup GmbH,netcup GmbH,v2202104114190150259.nicesrv.de,2025-02-14,2025-02-14,CTI-IOA
159.65.157.173,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,India,"DigitalOcean, LLC","DigitalOcean, LLC",,2025-02-14,2025-02-14,CTI-IOA
27.106.111.53,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Hong Kong,Huawei-Cloud-HK,HUAWEI CLOUDS,,2025-02-14,2025-02-14,CTI-IOA
74.121.148.61,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,IT7 Networks Inc,IT7 Networks Inc,74.121.148.61.16clouds.com,2025-02-14,2025-02-14,CTI-IOA
192.227.178.238,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,RackNerd LLC,HostPapa,192-227-178-238-host.colocrossing.com,2025-02-14,2025-02-14,CTI-IOA
52.188.13.228,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,Microsoft Corporation,Microsoft Corporation,,2025-02-14,2025-02-14,CTI-IOA
212.227.28.64,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Germany,IONOS SE,IONOS SE,ip212-227-28-64.pbiaas.com,2025-02-14,2025-02-14,CTI-IOA
49.13.225.29,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Germany,Hetzner Online GmbH,Hetzner Online GmbH,static.29.225.13.49.clients.your-server.de,2025-02-14,2025-02-14,CTI-IOA
47.94.225.128,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
103.6.238.33,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Malaysia,Asia Pacific Network Information Centre,CX2 Computer Exchange,,2025-02-14,2025-02-14,CTI-IOA
213.148.26.193,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Kazakhstan,Servercore Network,HAICOM LIMITED,,2025-02-14,2025-02-14,CTI-IOA
172.96.166.108,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,Dedicated.com,Dedicated.com,,2025-02-14,2025-02-14,CTI-IOA
99.226.116.102,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Canada,Rogers Cable Inc. YM,Rogers Communications Canada Inc.,pool-99-226-116-102.cpe.net.cable.rogers.com,2025-02-14,2025-02-14,CTI-IOA
194.163.166.19,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Germany,Contabo GmbH,Contabo GmbH,vmi1560748.contaboserver.net,2025-02-14,2025-02-14,CTI-IOA
31.207.45.151,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Netherlands,HOSTKEY B.V.,HOSTKEY B.V.,finder.mahajeevan.com,2025-02-14,2025-02-14,CTI-IOA
203.95.193.100,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,China,TISP LIMITED,DATAWING LIMITED,,2025-02-14,2025-02-14,CTI-IOA
149.248.52.171,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Canada,"Vultr Holdings, LLC","The Constant Company, LLC",149.248.52.171.vultrusercontent.com,2025-02-14,2025-02-14,CTI-IOA
109.123.242.116,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Germany,Contabo GmbH,Contabo GmbH,vmi1280316.contaboserver.net,2025-02-14,2025-02-14,CTI-IOA
206.55.84.201,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Canada,Beanfield Technologies Inc.,Beanfield Technologies Inc.,206-55-84-201.beanfield.net,2025-02-14,2025-02-14,CTI-IOA
77.92.95.127,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United Kingdom,UK-2 Limited,UK-2 Limited,mail.beachcafe.com,2025-02-14,2025-02-14,CTI-IOA
82.208.21.255,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Germany,Contabo GmbH,Contabo GmbH,vmi1085393.contaboserver.net,2025-02-14,2025-02-14,CTI-IOA
185.147.124.103,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Russian Federation,Almira LLC,JSC Selectel,,2025-02-14,2025-02-14,CTI-IOA
107.175.1.27,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,RackNerd LLC,HostPapa,107-175-1-27-host.colocrossing.com,2025-02-14,2025-02-14,CTI-IOA
146.59.201.131,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,France,OVH SAS,OVH SAS,,2025-02-14,2025-02-14,CTI-IOA
173.212.230.188,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Germany,Contabo GmbH,Contabo GmbH,vmi837119.contaboserver.net,2025-02-14,2025-02-14,CTI-IOA
85.239.54.208,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,BlueVPS OU,BlueVPS OU,,2025-02-14,2025-02-14,CTI-IOA
103.234.16.100,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Bangladesh,Ad-din Mother Care Limited,Ad-din Mother Care Limited,,2025-02-14,2025-02-14,CTI-IOA
177.125.40.217,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Brazil,BRASILNETS COM. ATAC. DE EQ. INFORMATICA LTDA ME,BRASILNETS COM. ATAC. DE EQ. INFORMATICA LTDA ME,177-125-40-217.redesiminternet.com.br,2025-02-14,2025-02-14,CTI-IOA
5.180.155.29,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Turkey,MB Serverita,TAYNET TEKNOLOJI TICARET LIMITED SIRKETI,SunucumFix.com,2025-02-14,2025-02-14,CTI-IOA
5.75.201.252,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Germany,Hetzner Online GmbH,Hetzner Online GmbH,static.252.201.75.5.clients.your-server.de,2025-02-14,2025-02-14,CTI-IOA
159.100.19.139,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Germany,First Colo GmbH,firstcolo GmbH,,2025-02-14,2025-02-14,CTI-IOA
45.154.14.198,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,"Korea, Republic of",XNNET LIMITED,MOACK.Co.LTD,,2025-02-14,2025-02-14,CTI-IOA
88.218.17.218,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Netherlands,Shahkar Towse'e Tejarat Mana PJSC,Serverius,,2025-02-14,2025-02-14,CTI-IOA
88.99.214.170,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Germany,Hetzner Online GmbH,Hetzner Online GmbH,relay.werderfan-fahrten.de,2025-02-14,2025-02-14,CTI-IOA
45.63.86.203,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,"Vultr Holdings, LLC","The Constant Company, LLC",45.63.86.203.vultrusercontent.com,2025-02-14,2025-02-14,CTI-IOA
103.53.170.120,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Viet Nam,KDATA Company Limited,Adsota Corporation,,2025-02-14,2025-02-14,CTI-IOA
77.88.193.133,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Ukraine,Ante Mediam LLC,Ante Mediam LLC,,2025-02-14,2025-02-14,CTI-IOA
123.156.62.67,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,China,China Unicom Zhejiang province network,CHINA UNICOM China169 Backbone,,2025-02-14,2025-02-14,CTI-IOA
147.45.221.181,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Germany,GLOBAL CONNECTIVITY SOLUTIONS LLP,GLOBAL CONNECTIVITY SOLUTIONS LLP,50890-4.ip-ptr.tech,2025-02-14,2025-02-14,CTI-IOA
185.156.73.148,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Netherlands,Telkom Internet LTD,Telkom Internet LTD,,2025-02-14,2025-02-14,CTI-IOA
45.79.207.53,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,Linode,Akamai Connected Cloud,li1306-53.members.linode.com,2025-02-14,2025-02-14,CTI-IOA
139.0.15.189,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,Indonesia,"PT. First Media,Tbk",Linknet ASN,ln-static-139-0-15-189.link.net.id,2025-02-14,2025-02-14,CTI-IOA
132.148.73.51,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",3790,United States,"GoDaddy.com, LLC","GoDaddy.com, LLC",51.73.148.132.host.secureserver.net,2025-02-14,2025-02-14,CTI-IOA
